ID ТУРУ,НАЗВА ТУРУ,ОСНОВНИЙ НАПРЯМОК,% ВІДХИЛЕННЯ ВІД МЕДІАНИ,ЗАГАЛЬНИЙ VALUE SCORE,ДЖЕРЕЛО,VALUE SCORE EUROTRIPS,VALUE SCORE COMPETITORS,,,X_line,Y_line,,X_line,Y_line
ACC-106,Яскраві враження.... Амстердам та Париж...,Франція,"0,13","0,73",COMPETITOR,,"0,73",,,,,,,
ACC-107,"Рим притягує нас!  Відень, Флоренція та Венеція",Італія,"-0,11","0,79",COMPETITOR,,"0,79",,,,,,,
ACC-108,"Швейцарська казка  Цюріх, Берн, Женева + Монблан",Швейцарія,"0,00","0,85",COMPETITOR,,"0,85",,,,,,,
ACC-109,"Швейцарська інтрига  Австрія, Італія та Доломітові Альпи",Швейцарія,"0,02","0,84",COMPETITOR,,"0,84",,,,,,,
ACC-110,"Віденський експрес!  Краків, Відень, Будапешт",Австрія,"-0,44","0,64",COMPETITOR,,"0,64",,,,,,,
ACC-111,Вічна класика: Салоніки + Афіни + Метеори,Греція,"-0,27","0,58",COMPETITOR,,"0,58",,,,,,,
ACC-112,Перше побачення в Греції:  Салоніки + Олімп + Метеори + Грецькі Альпи,Греція,"-0,50","0,48",COMPETITOR,,"0,48",,,,,,,
ACC-113,Наш красивий вікенд!,Угорщина,"0,43","0,69",COMPETITOR,,"0,69",,,,,,,
ACC-114,Іспанія – горда квітка Півдня  Відпочинок на морі,Іспанія,"-0,19","0,71",COMPETITOR,,"0,71",,,,,,,
ACC-115,Літня відпустка під іспанськими вітрилами  Відпочинок на морі,Іспанія,"0,14","0,75",COMPETITOR,,"0,75",,,,,,,
ACC-116,"Сонячна відпустка:  Трієст, Мілан, Генуя і Венеція",Італія,"0,05","0,83",COMPETITOR,,"0,83",,,,,,,
ACC-117,Випускний в Італії: 2 дні в Римі + відпочинок на морі,Італія,"0,06","0,75",COMPETITOR,,"0,75",,,,,,,
ACC-118,"Париж в моді, при любій погоді!",Франція,"-0,01","0,73",COMPETITOR,,"0,73",,,,,,,
ACC-119,"Мрії в подарунок…  Егер, Відень і Будапешт!",Угорщина,"0,06","0,84",COMPETITOR,,"0,84",,,,,,,
ACC-120,Естетика півдня: Амальфітанське узбережжя + Рим,Італія,"0,57","0,59",COMPETITOR,,"0,59",,,,,,,
ACC-121,"Love is...Венеція і Париж! + Діснейленд, Верона та Мілан...",Італія,"0,00","0,76",COMPETITOR,,"0,76",,,,,,,
ACC-122,Must seе - Amsterdam або 2 дні в Амстердамі!,Нідерланди,"-0,21","0,64",COMPETITOR,,"0,64",,,,,,,
ACC-123,Мій маленький рай - Чорногорія!,Чорногорія,"-0,08","0,63",COMPETITOR,,"0,63",,,,,,,
ACC-124,Балканська красуня - Чорногорія!  Відпочинок на Адріатичному узбережжі...,Чорногорія,"0,00","0,76",COMPETITOR,,"0,76",,,,,,,
